era,id,market_id,city,target_date,resolved_at,outcome,actual_value,model_prob_at_entry,side,won,settled_pnl,brier
paper,1,0x8dc661c81b017540abcb069da8f079d749afc6c1f3b38fd8a124fdf03e4ae724,Tel Aviv,2026-07-06,2026-07-06T00:00:00Z,NO,,0.20682708708859998,NO,1,1.1586206896551725,0.04277744395355532
paper,2,0x4dd5fc0d9cc08b627ceffd1e65b336887899c1009e1732d6fc1cfce06aaaa789,Chicago,2026-07-05,2026-07-05T00:00:00Z,NO,,0.019541321776203904,NO,1,0.5621621621621622,0.0003818632567611421
paper,3,0x39ef08df1138365c6a61c0ae07c56f35101b629a6c2bfea2b1933e613bd8a8db,Chicago,2026-07-05,2026-07-05T00:00:00Z,YES,,0.09412688227108991,NO,0,-1.5999999999999996,0.8206061054238958
paper,4,0x955bd578d6d2ea1a012e5d1512f7b842d7c88f2ae7c752ac50b84c660d5b68d9,Tel Aviv,2026-07-07,2026-07-07T00:00:00Z,NO,,0.2220462486156749,NO,1,1.3078686677265499,0.04930453652429411
paper,5,0xe526457da5c2fe07281c561808798b3de8fecccb1061cc13f9097be0eef49edf,Dallas,2026-07-06,2026-07-06T00:00:00Z,NO,,0.0034676506519923933,NO,1,0.5755368997774162,1.202460104426327e-05
paper,6,0xc8c938fe248eb6978a8e4b4a543a93f85f0e86c7f61385ddb91d2fa7da9e3a44,Dallas,2026-07-06,2026-07-06T00:00:00Z,NO,,0.04833948293417278,NO,1,0.7708548521905665,0.002336705610343182
paper,7,0x3e2bd7b439867e70ea6f166a67c98135c8d8f5ca239b34d2adc83e6f047ab42c,London,2026-07-08,2026-07-08T00:00:00Z,NO,,0.02546076572113898,NO,1,1.2356333836771682,0.0006482505911067256
paper,8,0xdc17129e7803b250e3982f87e6b898d41cee72be3050065ee2c602cd5df8a82f,London,2026-07-08,2026-07-08T00:00:00Z,NO,,0.06313331030303737,NO,1,1.2356333836771685,0.003985814869819605
paper,9,0x6ae2c140cb925c9e328c602078db7cd5375980c4f619d58de69615d0af0e2ed0,New York,2026-07-07,2026-07-07T00:00:00Z,NO,,0.14967332351931997,NO,1,1.191744735228822,0.022402103773319013
paper,10,0x9480d4e456d36549493d85fb5e3cb722d82123fc3655303f11de20ae5b5a8bb1,London,2026-07-08,2026-07-08T00:00:00Z,NO,,0.21021470527893404,NO,1,1.4668473980240258,0.0441902223155091
paper,11,0x922cf23cae9f09349cdf5937f83ac4426370e6c26a70a86c21297484bb38a5d1,Miami,2026-07-08,2026-07-08T00:00:00Z,NO,,0.21107083239793106,NO,1,1.439570651460807,0.044550896289155525
paper,12,0x7ef189d71f8fa7e3f737a01de4798db5be9946a5cc22d4f3f42cfa778786280d,Guangzhou,2026-07-09,2026-07-09T00:00:00Z,NO,,0.0321390533577397,NO,1,0.9507965337241344,0.0010329187507316395
paper,13,0x7ec0cce14fa0831953cc22f6b096c3981061b5df91890ab029bf904c61a3d701,Guangzhou,2026-07-14,2026-07-14T16:37:59.961166+00:00,YES,,8.310457988747189e-05,NO,0,-2.0,0.9998337977465963
paper,14,0x7c1b3303f2127d4dac6ed4995415355156c7750401394ed153388d48b1b32769,Tokyo,2026-07-18,2026-07-18T00:04:14.794687+00:00,NO,77.0,0.0639518307287184,NO,1,0.9850746268656714,0.004089836653554645
paper,15,0x372ec93f6b54adc3c85f1a9deae1bb5285d46359bc42dc7723e51759c47e7bc1,Tokyo,2026-07-18,2026-07-18T00:04:20.178403+00:00,NO,77.0,0.025975493338563388,NO,1,0.9850746268656714,0.0006747262541817524
paper,16,0x8e2d6fb26bba6d700c20bec546a70395df0ecb014bde26f5fd5aad8af8903205,London,2026-07-18,2026-07-18T00:04:29.689516+00:00,NO,64.4,0.0618478991160904,NO,1,1.0303030303030303,0.0038251626250741023
paper,17,0xce1478ead06bf54e3e552e188965c27ddd21634a35eaea5854beda1dad46946b,Taipei,2026-07-18,2026-07-18T00:04:34.658186+00:00,NO,86.0,0.006620942195322277,NO,1,0.38095238095238093,4.383687555379897e-05
paper,18,0x4f58b06312de36258c6766e35958832bafd2da6639c2201f1191b9986083d50e,Lucknow,2026-07-18,2026-07-18T00:04:49.185779+00:00,NO,84.2,0.014738434078648721,NO,1,0.32558139534883734,0.00021722143909067398
paper,19,0xa8f8fde11b1bc3ce5299db84813af71a26837e5c56b8f9e3033c665f463e58bb,New York,2026-07-18,2026-07-18T05:05:31.596291+00:00,YES,75.2,0.0001448468856536933,NO,0,-2.0,0.9997103272093127
paper,20,0x68a0dc95ecfdb8e00196c01ddea95135969c8bf064aa39a1eb07abbd3f1ad9ae,Miami,2026-07-18,2026-07-18T05:05:36.404514+00:00,NO,82.4,0.1873057956479588,NO,1,1.3898305084745766,0.0350834610833149
live,26,0x89d4c1326c68a96a58ccdd045f81bbf77642cc8d4bed0c9c6ce0bb898b66cfe3,Wuhan,2026-07-20,2026-07-23T08:28:33.301398+00:00,NO,91.4,0.2576871951138573,NO,1,2.8780487804878048,0.06640269052564715
live,27,0xdae4d0b29313ffe15858623377f6d1f1ca6662a30b2c94025ea2319d82cd08a0,Miami,2026-07-20,2026-07-23T08:28:36.244538+00:00,NO,82.4,0.2068627689665974,NO,1,1.7037037037037033,0.042792205184527844
live,28,0x4df5aa6967bdf1380f11104757dfc738dd5614573079e344b2c887fe9058ebf0,London,2026-07-20,2026-07-23T08:28:39.201817+00:00,NO,77.0,0.06002868070759097,NO,1,0.8571428571428572,0.0036034425074939
live,29,0x38d26d644161f63875034ef0ea5ad1db39191d69ac7694ba8f824e1b7323f47e,Guangzhou,2026-07-23,2026-07-23T16:42:15.626390+00:00,YES,,0.16632386183264805,NO,0,-2.0,0.6950159033496297
live,30,0x874a3a93dd78e444b18f1ce78bb86623b40af4dbef2789a674c4ce3ddd24322d,Taipei,2026-07-23,2026-07-23T18:28:47.333952+00:00,NO,93.2,0.145025277999844,NO,1,1.125,0.021032331258932033
live,31,0xd4acfbd6e4b85b4963008f04cb6638cc2a0612d18bafe00892cc7516d3c8ae00,Guangzhou,2026-07-24,2026-07-24T18:29:19.651841+00:00,NO,96.8,0.05,NO,1,0.3419203747072599,0.0025000000000000044
live,32,0x38b5471f565bb1befca7ee77034e80c9b0619fa6e4a6bf7fb8b3ff8850a6e8e4,Guangzhou,2026-07-24,2026-07-24T18:29:19.660836+00:00,NO,96.8,0.19467817634328619,NO,1,1.3898305084745766,0.03789959234434764
live,33,0xa8145ce08b27adc7ae4d5318cdcb664c4e7649438475c89151b5053d9fb68991,Seoul,2026-07-25,2026-07-25T17:29:31.232907+00:00,NO,87.8,0.05,NO,1,0.3310023310023311,0.0025000000000000044
live,34,0xb8d9d80f9344946d437b0d78e59ef8df196fb37bc9ca3004010f81b90ae0216b,Taipei,2026-07-25,2026-07-25T18:29:32.186361+00:00,NO,96.8,0.05,NO,1,0.5,0.0025000000000000044
live,35,0xa08a8b8a21ecf534db4af48cd86f3b8fc1093b87797c338a23348499058f6097,Chongqing,2026-07-25,2026-07-25T18:29:35.079630+00:00,NO,102.2,0.1992406998621632,NO,1,1.5714285714285712,0.039696856481564596
live,36,0x825465e44461267402e45ca4545c5d1b55e40bec72cf0ca3f1f7f44a3fd8af5f,Hong Kong,2026-07-26,2026-07-26T18:02:10.081253+00:00,YES,77.0,0.19985186397482735,NO,0,-2.0,0.6402370395845582
live,37,0xb367d07bf7957f7cb6d439ada1e2f636e8eaf3d87d911a6c0932872afc5b29a6,Hong Kong,2026-07-26,2026-07-26T18:02:10.090253+00:00,NO,77.0,0.06687731496639601,NO,1,1.0303030303030303,0.00447257525711454
live,38,0x8b48a773478a4432b34927c5e323afb333c9260d295b30669eb8f752165764cd,Sao Paulo,2026-07-26,2026-07-27T05:02:25.285559+00:00,NO,77.0,0.14709855422884233,NO,1,0.7397260273972601,0.021637984656215668
live,39,0x24ad4c45278ed5e9507879ded8ca466277fb88994d6b87686f36322069e2b889,New York,2026-07-26,2026-07-27T05:27:39.095221+00:00,YES,,0.1753570905712375,NO,0,-2.0,0.6800359280711342
live,40,0x87cb0ae5c9fe63d3aca87b3b2f3e2050a6bf9ac4a8125bf8a45f7cd08f7e62e7,Shenzhen,2026-07-27,2026-07-27T18:02:33.225063+00:00,NO,86.0,0.05,NO,1,0.32558139534883734,0.0025000000000000044
